"PARENTOBJECTTYPE","PARENTID","CHILDID","CHILDOBJECTTYPE","CREATEDAT","UPDATEDAT"
"skillgroup","68933870ba407998dac8a1e5","68933870ba407998dac89fcc","skillgroup","2025-08-06T11:12:07.313Z","2025-08-06T11:12:07.313Z"
"skillgroup","68933870ba407998dac89fcc","68933870ba407998dac89fcd","skillgroup","2025-08-06T11:12:07.314Z","2025-08-06T11:12:07.314Z"
"skillgroup","68933870ba407998dac89fcd","68933870ba407998dac89fce","skillgroup","2025-08-06T11:12:07.314Z","2025-08-06T11:12:07.314Z"
"skillgroup","68933870ba407998dac89fcc","68933870ba407998dac89fcf","skillgroup","2025-08-06T11:12:07.314Z","2025-08-06T11:12:07.314Z"
"skillgroup","68933870ba407998dac89fcf","68933870ba407998dac89fd0","skillgroup","2025-08-06T11:12:07.314Z","2025-08-06T11:12:07.314Z"
"skillgroup","68933870ba407998dac89fcc","68933870ba407998dac89fd1","skillgroup","2025-08-06T11:12:07.314Z","2025-08-06T11:12:07.314Z"
"skillgroup","68933870ba407998dac89fd1","68933870ba407998dac89fd2","skillgroup","2025-08-06T11:12:07.314Z","2025-08-06T11:12:07.314Z"
"skillgroup","68933870ba407998dac89fcc","68933870ba407998dac89fd3","skillgroup","2025-08-06T11:12:07.314Z","2025-08-06T11:12:07.314Z"
"skillgroup","68933870ba407998dac89fd3","68933870ba407998dac89fd4","skillgroup","2025-08-06T11:12:07.314Z","2025-08-06T11:12:07.314Z"
"skillgroup","68933870ba407998dac89fcc","68933870ba407998dac89fd5","skillgroup","2025-08-06T11:12:07.314Z","2025-08-06T11:12:07.314Z"
"skillgroup","68933870ba407998dac89fd5","68933870ba407998dac89fd6","skillgroup","2025-08-06T11:12:07.314Z","2025-08-06T11:12:07.314Z"
"skillgroup","68933870ba407998dac8a1e5","68933870ba407998dac89fd7","skillgroup","2025-08-06T11:12:07.314Z","2025-08-06T11:12:07.314Z"
"skillgroup","68933870ba407998dac89fd7","68933870ba407998dac89fd8","skillgroup","2025-08-06T11:12:07.314Z","2025-08-06T11:12:07.314Z"
"skillgroup","68933870ba407998dac89fd8","68933870ba407998dac89fd9","skillgroup","2025-08-06T11:12:07.314Z","2025-08-06T11:12:07.314Z"
"skillgroup","68933870ba407998dac89fd8","68933870ba407998dac89fda","skillgroup","2025-08-06T11:12:07.314Z","2025-08-06T11:12:07.314Z"
"skillgroup","68933870ba407998dac89fd8","68933870ba407998dac89fdb","skillgroup","2025-08-06T11:12:07.314Z","2025-08-06T11:12:07.314Z"
"skillgroup","68933870ba407998dac89fd8","68933870ba407998dac89fdc","skillgroup","2025-08-06T11:12:07.314Z","2025-08-06T11:12:07.314Z"
"skillgroup","68933870ba407998dac89fd8","68933870ba407998dac89fdd","skillgroup","2025-08-06T11:12:07.314Z","2025-08-06T11:12:07.314Z"
"skillgroup","68933870ba407998dac89fd8","68933870ba407998dac89fde","skillgroup","2025-08-06T11:12:07.314Z","2025-08-06T11:12:07.314Z"
"skillgroup","68933870ba407998dac89fd7","68933870ba407998dac89fdf","skillgroup","2025-08-06T11:12:07.314Z","2025-08-06T11:12:07.314Z"
"skillgroup","68933870ba407998dac89fdf","68933870ba407998dac89fe0","skillgroup","2025-08-06T11:12:07.314Z","2025-08-06T11:12:07.314Z"
"skillgroup","68933870ba407998dac8a1e5","68933870ba407998dac89fe1","skillgroup","2025-08-06T11:12:07.314Z","2025-08-06T11:12:07.314Z"
"skillgroup","68933870ba407998dac89fe1","68933870ba407998dac89fe2","skillgroup","2025-08-06T11:12:07.314Z","2025-08-06T11:12:07.314Z"
"skillgroup","68933870ba407998dac89fe2","68933870ba407998dac89fe3","skillgroup","2025-08-06T11:12:07.314Z","2025-08-06T11:12:07.314Z"
"skillgroup","68933870ba407998dac89fe1","68933870ba407998dac89fe4","skillgroup","2025-08-06T11:12:07.314Z","2025-08-06T11:12:07.314Z"
"skillgroup","68933870ba407998dac89fe4","68933870ba407998dac89fe5","skillgroup","2025-08-06T11:12:07.314Z","2025-08-06T11:12:07.314Z"
"skillgroup","68933870ba407998dac89fe4","68933870ba407998dac89fe6","skillgroup","2025-08-06T11:12:07.314Z","2025-08-06T11:12:07.314Z"
"skillgroup","68933870ba407998dac89fe4","68933870ba407998dac89fe7","skillgroup","2025-08-06T11:12:07.314Z","2025-08-06T11:12:07.314Z"
"skillgroup","68933870ba407998dac89fe4","68933870ba407998dac89fe8","skillgroup","2025-08-06T11:12:07.314Z","2025-08-06T11:12:07.314Z"
"skillgroup","68933870ba407998dac89fe4","68933870ba407998dac89fe9","skillgroup","2025-08-06T11:12:07.315Z","2025-08-06T11:12:07.315Z"
"skillgroup","68933870ba407998dac89fe4","68933870ba407998dac89fea","skillgroup","2025-08-06T11:12:07.315Z","2025-08-06T11:12:07.315Z"
"skillgroup","68933870ba407998dac89fe4","68933870ba407998dac89feb","skillgroup","2025-08-06T11:12:07.315Z","2025-08-06T11:12:07.315Z"
"skillgroup","68933870ba407998dac89fe1","68933870ba407998dac89fec","skillgroup","2025-08-06T11:12:07.315Z","2025-08-06T11:12:07.315Z"
"skillgroup","68933870ba407998dac89fec","68933870ba407998dac89fed","skillgroup","2025-08-06T11:12:07.315Z","2025-08-06T11:12:07.315Z"
"skillgroup","68933870ba407998dac89fec","68933870ba407998dac89fee","skillgroup","2025-08-06T11:12:07.315Z","2025-08-06T11:12:07.315Z"
"skillgroup","68933870ba407998dac89fec","68933870ba407998dac89fef","skillgroup","2025-08-06T11:12:07.315Z","2025-08-06T11:12:07.315Z"
"skillgroup","68933870ba407998dac89fec","68933870ba407998dac89ff0","skillgroup","2025-08-06T11:12:07.315Z","2025-08-06T11:12:07.315Z"
"skillgroup","68933870ba407998dac89fec","68933870ba407998dac89ff1","skillgroup","2025-08-06T11:12:07.315Z","2025-08-06T11:12:07.315Z"
"skillgroup","68933870ba407998dac89fec","68933870ba407998dac89ff2","skillgroup","2025-08-06T11:12:07.315Z","2025-08-06T11:12:07.315Z"
"skillgroup","68933870ba407998dac89fe1","68933870ba407998dac89ff3","skillgroup","2025-08-06T11:12:07.315Z","2025-08-06T11:12:07.315Z"
"skillgroup","68933870ba407998dac89ff3","68933870ba407998dac89ff4","skillgroup","2025-08-06T11:12:07.315Z","2025-08-06T11:12:07.315Z"
"skillgroup","68933870ba407998dac89ff3","68933870ba407998dac89ff5","skillgroup","2025-08-06T11:12:07.315Z","2025-08-06T11:12:07.315Z"
